Brand,PUG Aisle(s),Status
Harken Sweets,Sweets+Treats,shortlisted (already imported/live on site -- import-new-products.mjs)
Harry's Famous Sauce,Pantry,shortlisted (already imported/live on site -- import-shortlist-batch4.mjs)
Haus of Biscotti,Sweets+Treats,screened-reject (no certification info found)
Haven's Kitchen,"Pantry, Saucy+Spicy","screened-reject (non-GMO, gluten-free, vegan claims but no named third-party certifying body found)"
Hawa Matcha,Pantry,screened-reject (brand not identifiable -- no search results found)
Hayati,Pantry,"screened-reject (brand explicitly states za'atar is not certified organic, grown traditionally but uncertified per own FAQ)"
Hazelicious,Breakfast-ish,"screened-reject (non-GMO/plant-based claims only, no organic or other named certification found)"
Hazlo,Non-Alc,screened-reject (uses organic cane sugar as an ingredient but no full-product organic or B Corp certification found)
Hebel & Co,Sweets+Treats,shortlisted (USDA Certified Organic + Kosher + Fair Trade bean-to-bar chocolate in Chocolate Chunk Halva)
Heilala Vanilla,Pantry,shortlisted (Certified organic + Fair Trade + Certified B Corporation -- first vanilla company to reach B Corp status)
Heraclea,Pantry,shortlisted (PDO certified Memecik olives + Non-GMO Project Verified + 1% for the Planet)
Herb & Olive,Pantry,screened-reject (brand not identifiable -- search returned only unrelated brands)
Herbs & Kettles,Pantry,screened-hold (Georgia Grown directory lists 'certified organic and/or natural' but company itself notes many source farms use organic methods without formal certification -- needs direct verify)
Hero Bread,Pantry,"screened-reject (no organic, Non-GMO Project, or B Corp certification found)"
HEY CHAMP,Sweets+Treats,screened-reject (no certification info found)
Heyday Canning Co.,Pantry,screened-reject (not yet certified organic per own site; no B Corp or other named certification found)
High Mesa Chile Co.,Saucy+Spicy,"screened-reject ('natural ingredients' claim only, no brand-level named certification found)"
Hoboken Farms,Saucy+Spicy,shortlisted (Non-GMO Project Verified + USDA Certified Organic + OU Kosher + Keto Certified + Gluten-Free Certified)
HOL Health Club,Bites+Chews,"screened-reject (whole-food/clean-ingredient claims only, no certification found)"
Hola Mija,Puffs+Crunch,"shortlisted (certified organic + Non-GMO + gluten-free, seed-oil-free tortilla chips)"
Holy Tshili,Pantry,screened-reject (no certification info found)
Homemade ish,Sweets+Treats,screened-reject (no certification info found)
Homestead's Hot Sauce,Saucy+Spicy,shortlisted (Kosher certified)
Homiah,Pantry,"screened-reject (non-GMO ingredient claim only, no named certifying body or organic certification found)"
Hope and Sesame,Breakfast-ish,shortlisted (USDA Certified Organic + Non-GMO Project Verified + Kosher + Upcycled Certified -- only Upcycled Certified plant milk)
Hormbles Chormbles,Sweets+Treats,screened-reject (explicitly not organic; no other certification found)
Hot N Saucy,Pantry,"screened-reject (all-natural/vegan claims only, no organic certification found)"
Hotgirlsauce,Pantry,"screened-reject (non-GMO ingredient claim only, no named certifying body found)"
Hotpot Queen,Saucy+Spicy,"screened-reject ('natural' and non-GMO ingredient claims only, no named certification found)"
House of Yes,Bites+Chews,shortlisted (OU Kosher certified per Kashruth Division of the Orthodox Union)
Huckleberry,Breakfast-ish,screened-reject (brand not identifiable as a product brand -- results only show an unrelated restaurant chain)
Hueza Bakery,Sweets+Treats,screened-reject (no certification info found)
Humble House,Bites+Chews,"shortlisted (certified organic potato chips per brand + Canada Organic Trade Association member, as Humble Snacks/Humble Chips)"
Humble Nut Butter,Saucy+Spicy,screened-hold ('certified organic recipe with fair trade organic cashews' claimed but specific certifying body not named on product pages -- needs direct verify)
Hummii Snacks,Sweets+Treats,"screened-reject (low-sugar/plant-based claims only, no certification found)"
HUNNYVERSE,Pantry,screened-reject (no certification info found)
Hustard,Pantry,screened-reject (brand not identifiable -- no search results found)
Huwa,Pantry,screened-hold (site describes olive oil as 'organic' but specific certifying body not confirmed in search -- needs direct verify)
Hyli Drops,Non-Alc,"screened-reject ('all natural' claim only, no certification found)"
iMind Brain Food,Bites+Chews,shortlisted (Certified USDA Organic + Non-GMO + Kosher on nut-free varieties)
immi,Pantry,screened-hold (EWG Food Scores lists 'Certified Organic' and 'Certified GMO Free' but brand's own site doesn't confirm which certifying body -- needs direct verify)
In Good Faith,Sweets+Treats,screened-reject (brand not identifiable -- no search results found)
Inspired Indian Cooking,Pantry,screened-reject (no certification info found)
Island Creek Oysters,Pantry,screened-reject (self-described 'sustainable' and 'responsibly sourced' but no confirmed MSC/ASC or other named certification found)
Issei,Sweets+Treats,"screened-reject (non-GMO/natural-colors claims only, no organic certification found)"
JACK BEAR Honey,Saucy+Spicy,"screened-reject (raw honey claim only, no certification found)"
Jackson's,Puffs+Crunch,shortlisted (USDA Certified Organic by QAI + Non-GMO Project Verified)
Jacob,Bites+Chews,screened-reject (brand not identifiable -- no search results found)
Jam Packd,Pantry,"screened-reject (finished jam is explicitly not USDA certified organic per own FAQ; only the collagen/gelatin ingredient is certified kosher/halal, not the whole product)"
Jamagansett,Pantry,screened-hold (brand states '100% Organic' but own description notes practices 'may not be verified organic' for some flavors -- needs direct verify)
Jambee,Pantry,screened-reject (brand not identifiable -- no search results found)
Jamie's Farm,Breakfast-ish,"screened-hold ('Certified Organic, Gluten-Free oats' as an ingredient claim -- unclear if whole product carries full organic certification -- needs direct verify)"
JAS,Non-Alc,"screened-reject (organic agave/cane sugar as ingredients only, no full-product certification confirmed)"
Jennie's House,Pantry,screened-reject ('all-organic ingredients' claimed but no third-party certifying body confirmed)
Joey Nordic Seed Crisps,Puffs+Crunch,shortlisted (already imported/live on site -- import-pug-batch series)
Joolies,Sweets+Treats,shortlisted (USDA Certified Organic + Non-GMO Project Verified + Kosher + Halal + Glyphosate Residue Free)
Joon Pistachios,Puffs+Crunch,"screened-reject (non-GMO/clean-ingredient claims only, no organic certification confirmed)"
JOVA,Breakfast-ish,"screened-reject (organic oats/chia/hemp as ingredients only, no full-brand certification confirmed)"
Jovia,Pantry,"screened-hold (multiple unrelated companies share this name -- Turkish chocolate maker, EU baby formula, wellness tea brand -- brand identity ambiguous for this Pantry listing, needs direct verify)"
Jovial Foods,Pantry,shortlisted (USDA Certified Organic by QAI + Non-GMO Project Verified across flour and tomato lines)
JOYA,Sweets+Treats,screened-hold (own site says 'certified organic' ingredients but does not name the specific certifying body -- needs direct verify)
Joydays,Sweets+Treats,screened-hold ('certified-organic' claimed per third-party retailer listing but specific certifying body not confirmed on brand's own site -- needs direct verify)
Jozo,Pantry,"shortlisted (Yamaki Jozo Organic Shoyu -- organic certified in Japan, EU, and US + Kosher certified)"
Jubi,Non-Alc,"screened-reject ('lab-tested, natural' claims only, no organic certification found)"
Junglee,Non-Alc,"screened-reject (non-GMO/natural claims only, no organic certification found)"
Just Date,Sweets+Treats,shortlisted (USDA Certified Organic + CCOF certified + Fair Trade dark chocolate chips)
Just Enough Zero,Non-Alc,screened-reject (brand not identifiable -- no search results found)
JustNosh,Bites+Chews,shortlisted (Seed Oil Free Certified via lab testing; explicitly not fully USDA organic certified per own 'organic where it matters' positioning)
KA! Empathogenics,Bites+Chews,"screened-reject (GMP/SAHPRA facility certification is a manufacturing quality standard, not an organic/fair-trade certification; ingredients not consistently certified organic)"
Ka-Pop! Snacks,Puffs+Crunch,shortlisted (Non-GMO Project Verified + Certified Vegan by VeganAction + Kosher certified facility; not certified organic)
Kahawa 1893 Coffee,Breakfast-ish,shortlisted (already imported/live on site -- import-new-products.mjs)
Kailo Bar,Bites+Chews,screened-reject (organic ingredients used where possible but not certified organic per own site; working toward certification)
Kaizen Food Company,Pantry,shortlisted (GFCO Certified Gluten-Free; non-GMO ingredients; not certified organic)
Kanira,Breakfast-ish,"screened-reject ('organic ingredients when possible' claim only, no certification found)"
KariKari,Pantry,screened-reject (no certification info found for either KariKari-branded product line)
Karma Nuts,Bites+Chews,shortlisted (Non-GMO Project Verified + Kosher certified)
Katjes,Sweets+Treats,"screened-reject (plant-based/no-palm-oil claims only, no organic or Fair Trade certification found)"
Kava Heaven,Non-Alc,screened-reject (brand not identifiable -- no search results found)
Keep Grazin,Puffs+Crunch,"screened-reject (grass-fed/non-GMO claims only, no organic certification found)"
Keeper Honey Co.,Pantry,"screened-reject (True Source Certified is a traceability/anti-fraud standard, not an organic or fair-trade certification -- no qualifying certification found)"
Kel's Kitchen Table,Breakfast-ish,screened-reject ('certified gluten-free oats' as an ingredient claim only; no full-product certification found)
Kemushi,Saucy+Spicy,screened-reject (no certification info found)
kencko,Breakfast-ish,shortlisted (already imported/live on site -- import-new-products.mjs)
Keya's Snacks,Puffs+Crunch,"screened-reject (organic spices as an ingredient claim only, no full-product certification found)"
KHLOUD,Puffs+Crunch,"screened-reject (non-GMO/clean-ingredient claims only, no organic certification found)"
Kibo Foods,Puffs+Crunch,shortlisted (Non-GMO Project Verified + Certified Gluten-Free + Kosher certified)
Killer Brownie,Sweets+Treats,screened-hold (EWG Food Scores attributes 'Certified Organic' to 'The Killer Brownie Company' -- a separate brand from the original 1980s Killer Brownie -- brand identity and certifying body need direct verify)
KimlyParc,Pantry,"screened-reject (organic cane sugar as an ingredient only, no full-product certification found)"
Kit NA Brewing,Non-Alc,shortlisted (already imported/live on site -- import-new-products.mjs)
Kittylamb,Sweets+Treats,shortlisted (already imported/live on site -- import-new-products.mjs)
KiuKiu,Breakfast-ish,"screened-reject (organic ube/sweet potato powder as ingredients only, no full-product certification found)"
KOBU,Breakfast-ish,screened-reject ('mostly organic ingredients' claimed but no full-product certifying body confirmed)
Kokada,Sweets+Treats,shortlisted (USDA Certified Organic coconut spread)
Kolkata Chai Co.,Pantry,"shortlisted (Certified bio-organic + Fair Trade + UTZ certified black tea, per brand's own sustainability page)"
Kooshy Croutons,Pantry,shortlisted (Non-GMO Project Verified; organic flour used as an ingredient)
Kosterina,Pantry,shortlisted (already imported/live on site -- import-new-products.mjs)
Kuli Kuli,Sweets+Treats,shortlisted (USDA Certified Organic + Non-GMO + Fair Trade Certified + Certified B Corporation)
Kusi Foods,Pantry,"screened-reject ('no additives/preservatives' claims only, no organic certification found)"
L'Isolina & Spaghetti Dust,Pantry,screened-hold (one retailer listing calls it 'certified organic regenerative' but brand's own site emphasizes 'regeneratively grown' without naming the certifying body -- needs direct verify)
La Saum,Non-Alc,screened-reject (brand not identifiable -- no search results found)
Lake & Oak Tea Co.,Pantry,screened-reject (brand explicitly states it is not certified organic despite using ~97% organic ingredients per own FAQ)
LASSO,Sweets+Treats,screened-reject (brand not identifiable -- no search results found)
LAV,Pantry,screened-reject (brand not identifiable -- no search results found)
Lazy Food Co,Pantry,"screened-reject ('all-natural, plant-based' claims only, no organic certification found)"
Leemu,Pantry,"screened-reject ('clean ingredients' claims only, no organic certification found)"
Leichacha,Pantry,"screened-reject ('100% natural' claim only, no organic certification found)"
Like Air,Puffs+Crunch,shortlisted (Kosher certified; non-GMO ingredients claimed but not third-party verified)
Lil Bucks,Breakfast-ish,shortlisted (USDA Certified Organic + Regenerative Organic Certified -- first ROC buckwheat supply chain in the US)
Little Latke,Puffs+Crunch,shortlisted (Kosher certified; non-GMO/seed-oil-free claimed but not third-party verified)
Little Rebels Kids,Pantry,"screened-reject (children's apparel brand, not a food/beverage product -- not applicable to this directory)"
Little Spoon,Pantry,shortlisted (USDA Certified Organic + Certified EU Organic + Clean Label Project Certified + Certified Pesticide Free -- baby formula/food line)
Little Zing,Pantry,"screened-reject (brand not identifiable under this exact name -- search returned a different, unrelated 'Organic Zing' brand)"
Liv Gourmet Granola,Breakfast-ish,"screened-reject (organic oats/coconut oil as ingredients only, no full-product certification found)"
Live Loud Foods,Bites+Chews,"screened-reject (founder trained in organic cooking, but no product-level organic certification found)"
LiveKuna,Pantry,screened-reject (brand not identifiable -- no search results found)
LIVING PRANA,Breakfast-ish,screened-hold ('certified organic' and Kosher-certified claimed but specific organic certifying body not confirmed -- needs direct verify)
LL's Kitchen,Breakfast-ish,"screened-reject ('thoughtfully sourced' ingredients claim only, no certification found)"
LOHSO,Pantry,screened-hold ('regenerative organic coconut farm' claimed but specific certifying body not named -- needs direct verify)
Loisa,Pantry,"shortlisted (USDA Certified Organic + Non-GMO across Sazón, Adobo, and seasoning lines)"
LOKI,Non-Alc,"screened-reject (no GFA category -- THC/cannabis-infused seltzer, not food/beverage)"
Long Weekend,Pantry,screened-reject (brand not identifiable -- no search results found)
Longbottom,Non-Alc,shortlisted (Fair Trade USA Certified + Oregon Tilth Certified Organic (OTCO) -- 20+ years as a certified organic facility)
Lorissa's Kitchen,Bites+Chews,shortlisted (USDA Certified Organic + Non-GMO Project Verified on organic meat stick line)
Louie Louie,Non-Alc,screened-reject (no organic certification confirmed; distinct from unrelated 'Bab Louie & Co.' bitters brand)
Lovebird Cereal,Breakfast-ish,shortlisted (USDA Certified Organic + Fair Trade cassava flour; Clean Label Project Purity Award)
Lucesca,Pantry,"screened-reject (family-made/small-batch claims only, no organic certification found)"
Lupii,Bites+Chews,screened-reject (insufficient certification info found -- search results confused with unrelated HIPPEAS brand)
maa·tay,Pantry,screened-reject (brand not identifiable -- no matching search results found)
Mae Coffee Roasters,Pantry,"screened-reject ('direct trade, sustainable' claims only, no organic or Fair Trade certification found)"
Maeve,Sweets+Treats,shortlisted (Certified Organic + Certified GMO Free; some bars also Rainforest Alliance Certified)
Magic Spoon,Breakfast-ish,screened-hold (EWG Food Scores lists 'Certified Organic'/'Certified GMO Free' on some flavors but brand's own marketing doesn't confirm -- needs direct verify)
MAGICdATES,Bites+Chews,"screened-hold ('organically grown' California dates claimed, individual varieties named 'Organic Medjool' etc., but certifying body not confirmed -- needs direct verify)"
Maja,Breakfast-ish,shortlisted (USDA Certified Organic + Non-GMO + Kosher on overnight oats line; baking mixes not yet organic)
Mala Tara,Pantry,screened-hold ('organic small farms' in Thailand claimed but certifying body not named -- needs direct verify)
MALK Organics,Breakfast-ish,pending
Malu Coffee,Breakfast-ish,pending
Mama Teav's,Pantry,pending
Man Cereal,Breakfast-ish,pending
Manou,Bites+Chews,pending
Marianne's,Pantry,pending
Mary's Gone Crackers,Puffs+Crunch,pending
MASA Chips,Puffs+Crunch,pending
MASAH,Sweets+Treats,pending
Masala Gossip,Pantry,pending
Matcha DNA,Pantry,pending
Matchpoint,Pantry,pending
Matriark Foods,Pantry,pending
Maui Nui,Bites+Chews,pending
Maven,Pantry,pending
Maya Kaimal,Pantry,pending
Meggo Sweets,Sweets+Treats,pending
Mellody,Saucy+Spicy,pending
Melting Forest,Non-Alc,pending
merri matcha,Pantry,pending
Mez Foods,Sweets+Treats,pending
Michele's Granola,Breakfast-ish,pending
MIILS,Breakfast-ish,pending
Milk Bar,Sweets+Treats,pending
milkadamia,Breakfast-ish,pending
Miracle Mama,Sweets+Treats,pending
Misfits Market,Puffs+Crunch,pending
Mixiboy,Sweets+Treats,pending
Mixly,Non-Alc,pending
Mmmly,Sweets+Treats,pending
Mocktail Club,Non-Alc,pending
Moku,Bites+Chews,pending
MommaBear Organics,Sweets+Treats,pending
Monday,Non-Alc,pending
Monte's Fine Foods,Saucy+Spicy,pending
Moo'd Up,Breakfast-ish,pending
Moonshot,Puffs+Crunch,pending
More Than Matcha,Pantry,pending
Morning Made,Pantry,pending
MOSH,Bites+Chews,pending
Motif,Pantry,pending
Motiv Matcha,Pantry,pending
mowchin goods matcha,Pantry,pending
Mozaics,Puffs+Crunch,pending
Mugsy,Sweets+Treats,pending
Mumgry,Saucy+Spicy,pending
Munk Pack,Bites+Chews,pending
Must Love,Sweets+Treats,pending
Myna Snacks,Sweets+Treats,pending
NA Beverage Co.,Non-Alc,pending
NAMS,Puffs+Crunch,pending
Nan's Original Recipes,Pantry,pending
Nantucket Crisps,Puffs+Crunch,pending
Natural Heaven,Pantry,pending
Nature's Element,Breakfast-ish,pending
Nebula Snacks,Sweets+Treats,pending
Neolea,Pantry,pending
New York Shuk,Pantry,pending
Nice Cans,Pantry,pending
Niramaya Foods,Saucy+Spicy,pending
No Alcohol Company,Non-Alc,pending
NON,Non-Alc,pending
Nonna's Olive Oil,Pantry,pending
Noodo,Pantry,pending
NOOISH,Pantry,pending
Nooly,Pantry,pending
NoonBrew,Non-Alc,pending
Noot,Non-Alc,pending
Nora,Puffs+Crunch,pending
Noshi,Saucy+Spicy,pending
Nostimo Olive Oil,Pantry,pending
not just co.,Pantry,pending
Nowadays,Non-Alc,pending
Nucolato,Sweets+Treats,pending
NUDEGREENS,Pantry,pending
Oats in Coats,Breakfast-ish,pending
OCA Foods,Puffs+Crunch,pending
OffLimits,Breakfast-ish,pending
OH MY GUM!,Sweets+Treats,pending
Oh-Mazing Granola,Breakfast-ish,pending
Ohhts! Overnight Oatmeal,Breakfast-ish,pending
Ojaswe Co.,Breakfast-ish,pending
Okina,Sweets+Treats,pending
Ollin,Sweets+Treats,pending
Olyra Foods,Breakfast-ish,pending
Omsom,Saucy+Spicy,pending
One Trick Pony,Pantry,pending
ONO,Breakfast-ish,pending
ONOIN,Pantry,pending
Onyx Coffee Lab,Breakfast-ish,pending
Oobli,Sweets+Treats,pending
Oodaalolly,Sweets+Treats,pending
OOSO Sparkling Tea,Non-Alc,pending
Opopop,Puffs+Crunch,pending
Oracle,Pantry,pending
OSIA,Non-Alc,pending
Osmo Salt,Pantry,pending
Oso Snacks,Bites+Chews,pending
Oswald Co,Saucy+Spicy,pending
Otamot,Saucy+Spicy,pending
Otherworld,Breakfast-ish,pending
Otto's,Pantry,pending
Outstanding Foods,Puffs+Crunch,pending
OverEasy,Bites+Chews,pending
Pan's,Bites+Chews,pending
Papa's Pops,Puffs+Crunch,pending
Paradise Squared,Sweets+Treats,pending
PARCH,Non-Alc,pending
Pari,Non-Alc,pending
Paro,Puffs+Crunch,pending
Partake Foods,Sweets+Treats,pending
Party Of,Puffs+Crunch,pending
Pass the Honey,Sweets+Treats,pending
Pastabilities,Pantry,pending
Pastacraft,Pantry,pending
Patagonia Provisions,Pantry,pending
PeaKaPop,Puffs+Crunch,pending
Pearl Honey Spreads,Pantry,pending
Pecana,Breakfast-ish,pending
Peepal People,Pantry,pending
PERC Coffee,Pantry,pending
Pesche,Non-Alc,pending
Phasey,Sweets+Treats,pending
Phoenicia Diner,Breakfast-ish,pending
pi00a,Pantry,pending
Pikora,Pantry,pending
Pili Hunters,Saucy+Spicy,pending
Pinch,Pantry,pending
Pineapple Collaborative,Pantry,pending
Pink Panda,Sweets+Treats,pending
Pink Salt,Saucy+Spicy,pending
Pipcorn,Puffs+Crunch,pending
Pisqueya,Pantry,pending
Pistakio,Pantry,pending
Pixsea,Puffs+Crunch,pending
pnuff,Puffs+Crunch,pending
Poi Dog,Saucy+Spicy,pending
Pop Zero,Puffs+Crunch,pending
Popadelics,Puffs+Crunch,pending
Popcorn for the People,Puffs+Crunch,pending
Poppy Handcrafted Popcorn,Puffs+Crunch,pending
Potli,Pantry,pending
Potluck,Saucy+Spicy,pending
Power Up Foods,Bites+Chews,pending
Prest,Pantry,pending
PRETZELIZED,Puffs+Crunch,pending
PREVAIL,Bites+Chews,pending
PRIMA,Bites+Chews,pending
Primis Imports,Pantry,pending
Proposition Cocktail Co,Non-Alc,pending
Puffworks,Puffs+Crunch,pending
Pulp Pantry,Puffs+Crunch,pending
Pulpito Fruit Bites,Bites+Chews,pending
PUR Spices Limited,Pantry,pending
Purely Pecans,Saucy+Spicy,pending
Purposefuel,Bites+Chews,pending
pwrfuel,Bites+Chews,pending
Quincy,Non-Alc,pending
R.E.D.D.,Bites+Chews,pending
Raaka,Sweets+Treats,pending
Racha Organics,Pantry,pending
Ramp Up,Saucy+Spicy,pending
Rare Breed Coffee,Pantry,pending
Real Food From The Ground Up,Puffs+Crunch,pending
RECIPE 33,Bites+Chews,pending
Red Clay,Pantry,pending
Redbloom,Saucy+Spicy,pending
Reform Botanicals,Non-Alc,pending
Reframe Cannabis Spirit,Non-Alc,pending
Renewal Mill,Sweets+Treats,pending
Resist Nutrition,Bites+Chews,pending
Rested Rituals,Non-Alc,pending
Revival Food Co.,Pantry,pending
REWINE,Non-Alc,pending
Rhus,Pantry,pending
RightRice,Pantry,pending
RIND Snacks,"Bites+Chews, Puffs+Crunch",pending
RISE Brewing Co.,Breakfast-ish,pending
Rise With Apollo,Pantry,pending
Rishi Tea & Botanicals,Pantry,pending
Ritual Zero Proof,Non-Alc,pending
Rivalz Snacks,Puffs+Crunch,pending
RIVR,Non-Alc,pending
Rogue Jerky,Bites+Chews,pending
root foods,Puffs+Crunch,pending
Rootless,Bites+Chews,pending
Roots In Rice,Sweets+Treats,pending
Rotten,Sweets+Treats,pending
Rowdy,Bites+Chews,pending
Rowe's Macaroons,Sweets+Treats,pending
RSRV Collective,Non-Alc,pending
Rubirosa,Pantry,pending
S'NOODS,Puffs+Crunch,pending
Sababa Foods,Saucy+Spicy,pending
Sakhar Jams,Pantry,pending
Salad Sprinkles,Pantry,pending
SANS Meal Bar,Bites+Chews,pending
Santa Gula,Bites+Chews,pending
Santana Snacks,Puffs+Crunch,pending
Sarilla,Non-Alc,pending
Satya,Pantry,pending
Sauce Baby,Pantry,pending
Sauce Revival,Pantry,pending
Sauz,Pantry,pending
Savannah Bee Company,"Pantry, Sweets+Treats",pending
SayGhee,Pantry,pending
SAYSO,Non-Alc,pending
Scout,Pantry,pending
Scout Mustard,Saucy+Spicy,pending
seasn,Non-Alc,pending
Seed to Surf,Pantry,pending
Seedible,Pantry,pending
SEEDLY,Sweets+Treats,pending
SENOR MANGO,Bites+Chews,pending
Seven Sundays,Breakfast-ish,pending
SHAMAN RAMAN,Pantry,pending
She's The Sauce,Pantry,pending
Shinzo Matcha,Pantry,pending
Shooka Sauce,Saucy+Spicy,pending
Siesta Co,Pantry,pending
Simple Mills,Puffs+Crunch,pending
Simple Trail,Breakfast-ish,pending
Simrancooks,Saucy+Spicy,pending
Sip Solo,Pantry,pending
SipClean,Non-Alc,pending
SIPPL Mixology,Non-Alc,pending
Sky High Farm Goods,Pantry,pending
Slingshot Coffee Co.,Breakfast-ish,pending
Smart Sweets,Sweets+Treats,pending
SMPL,Bites+Chews,pending
SNACKLINS,Puffs+Crunch,pending
Society De La Rassi,Non-Alc,pending
SoCo Seeds of Collaboration,Pantry,pending
Solely,Bites+Chews,pending
Somos,"Pantry, Puffs+Crunch",pending
Soul,Bites+Chews,pending
Soul Chai,Pantry,pending
Spicewell,Pantry,pending
Spicy Goddess Blends,Pantry,pending
Spicy Virgin,Saucy+Spicy,pending
Sprinkle Bites,Pantry,pending
Spudsy,Puffs+Crunch,pending
Stellar Eats,Breakfast-ish,pending
Stellar Granola,Breakfast-ish,pending
Stellar Snacks,Puffs+Crunch,pending
Stesh Butter,Pantry,pending
Sticky Fingers,Sweets+Treats,pending
Strange Syrups,Pantry,pending
Strip Jerky,Bites+Chews,pending
Stryve,Bites+Chews,pending
Stuzzi Hot Sauce,Pantry,pending
Suckerz,Sweets+Treats,pending
Sunday Night Foods,Sweets+Treats,pending
Sunny Fine Foods,Saucy+Spicy,pending
superfun!,Pantry,pending
Supergut,Bites+Chews,pending
SuperMajor Snacks,Sweets+Treats,pending
Supernatural,Sweets+Treats,pending
Supernola,Breakfast-ish,pending
Superspoon,Pantry,pending
Surely,Non-Alc,pending
SVRY Nutrition,Bites+Chews,pending
Sweet Addison's,Sweets+Treats,pending
Sweet Amsterdam,Sweets+Treats,pending
Sweet Deliverance,Breakfast-ish,pending
Sweet Stash,Sweets+Treats,pending
Sweeter Collective,Sweets+Treats,pending
Taim Olive,Pantry,pending
Takeaways,Bites+Chews,pending
Tandy,Sweets+Treats,pending
Tantos!,Puffs+Crunch,pending
Tari Peruvian Hot Sauce,Pantry,pending
TAVI Chocolates,Sweets+Treats,pending
Tazzy Candy,Sweets+Treats,pending
TBD,Non-Alc,pending
tbh,Pantry,pending
TCHO Chocolate,Sweets+Treats,pending
tealish,Pantry,pending
Tempo Granola,Breakfast-ish,pending
Tenneyson,Non-Alc,pending
Terranean Herbs & Spices,"Pantry, Puffs+Crunch",pending
Thanks Danks,Bites+Chews,pending
The After Bar,Bites+Chews,pending
The Cocktail Box Co,Non-Alc,pending
The Conscious Bar,Sweets+Treats,pending
The Forward Bar,Bites+Chews,pending
The Good Ritual,Breakfast-ish,pending
The Hampton Grocer,Breakfast-ish,pending
The Matzo Project,Puffs+Crunch,pending
The New Primal,Bites+Chews,pending
The Outgoing Co,Non-Alc,pending
The Pink Cookie,Sweets+Treats,pending
The Real Cereal Company,Breakfast-ish,pending
The Salted Roots,Pantry,pending
The Vurger Co,Pantry,pending
The Yes Bar,Bites+Chews,pending
Theo's Plant Based,Bites+Chews,pending
This Little Goat,Saucy+Spicy,pending
Three Spirit,Non-Alc,pending
Tidbits,Sweets+Treats,pending
Tidetreats,Sweets+Treats,pending
Tierra Negra,Pantry,pending
Tilden,Non-Alc,pending
Ting A Ling,Saucy+Spicy,pending
Tiny Fish Co.,Pantry,pending
Tom's Perfect 10,Breakfast-ish,pending
Tomato Bliss,Pantry,pending
Toodaloo,Breakfast-ish,pending
TOST,Non-Alc,pending
Tower Treats,Sweets+Treats,pending
Transcendence Coffee,Pantry,pending
troop,Bites+Chews,pending
TruBar,Bites+Chews,pending
True Scoops,Sweets+Treats,pending
TRUFF,Pantry,pending
Truly Nuts,Bites+Chews,pending
Tsubi Soup,Pantry,pending
Tuck Shop,Sweets+Treats,pending
Tursh,Pantry,pending
Unbothered Foods,Puffs+Crunch,pending
Unhinged,Bites+Chews,pending
UNION Snacks,Bites+Chews,pending
UNiTE,Bites+Chews,pending
Vaca Chips,Puffs+Crunch,pending
Vacadillos,Bites+Chews,pending
Van Van,Pantry,pending
Veggie Vice,Puffs+Crunch,pending
Veggiecraft,Pantry,pending
VEGOBEARS,Sweets+Treats,pending
Vibes Snacks,Sweets+Treats,pending
VICTORY DANCE FOODS,Breakfast-ish,pending
Villbrygg,Non-Alc,pending
Visitor,Non-Alc,pending
Vital Leaf,Sweets+Treats,pending
VYBE Snacks,Bites+Chews,pending
WA-CHAA!,Puffs+Crunch,pending
Wanna Date?,Saucy+Spicy,pending
WAVA Water,Non-Alc,pending
Wavy Daze,Non-Alc,pending
We Just Bee,Pantry,pending
Weekday Vibes,Non-Alc,pending
Wei Good Food,Saucy+Spicy,pending
Whims,Sweets+Treats,pending
Whoa Dough,Sweets+Treats,pending
WholeMe,Breakfast-ish,pending
Why Bars,Bites+Chews,pending
Wild Joy Goods,Bites+Chews,pending
Wilde Chips,Puffs+Crunch,pending
Wilder Condiments,Saucy+Spicy,pending
Wildway,Bites+Chews,pending
Wims!,Non-Alc,pending
WonderPop,Puffs+Crunch,pending
WOW Seaweed,Puffs+Crunch,pending
Wynk Seltzer,Non-Alc,pending
Ya Albi,Pantry,pending
YAX,Puffs+Crunch,pending
Yellowbird Hot Sauce,Pantry,pending
Yeri Coffee,Pantry,pending
Yo Amma,Pantry,pending
Yo Mama's Foods,"Pantry, Saucy+Spicy",pending
YOGA POPS,Puffs+Crunch,pending
Yolele,Pantry,pending
You Need This,Puffs+Crunch,pending
Your Pasta,Pantry,pending
Yujo Matcha,Bites+Chews,pending
YUMI,Bites+Chews,pending
Yumkies,Sweets+Treats,pending
Yummate,Puffs+Crunch,pending
Zab's,Saucy+Spicy,pending
Zac's Sweet Shop,Sweets+Treats,pending
Zack's Mighty,Puffs+Crunch,pending
ZAZ,Sweets+Treats,pending
Zesty Z,Puffs+Crunch,pending
Ziba Foods,Puffs+Crunch,pending
ZORA,Sweets+Treats,pending
